oppervlakte_m2,index_right,buurtcode,p_le_2,netto_splitsbaar_m2,max_units_after_split,split_feasible,units_added_if_split,expected_units_added
130,5536.0,BU04060001,0.4,117.0,2,True,1,0.04000000000000001
152,5556.0,BU04060817,0.444,136.8,2,True,1,0.0444
251,5548.0,BU04060409,0.642,225.9,2,True,1,0.06420000000000001
133,5536.0,BU04060001,0.40599999999999997,119.7,2,True,1,0.0406
133,5549.0,BU04060410,0.40599999999999997,119.7,2,True,1,0.0406
527,5541.0,BU04060206,0.9,474.3,2,True,1,0.09000000000000001
128,5538.0,BU04060103,0.396,115.2,2,True,1,0.0396
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
193,5536.0,BU04060001,0.526,173.70000000000002,2,True,1,0.05260000000000001
209,5543.0,BU04060308,0.558,188.1,2,True,1,0.05580000000000001
146,5536.0,BU04060001,0.432,131.4,2,True,1,0.0432
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
136,5536.0,BU04060001,0.412,122.4,2,True,1,0.0412
189,5548.0,BU04060409,0.518,170.1,2,True,1,0.051800000000000006
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
253,5541.0,BU04060206,0.646,227.70000000000002,2,True,1,0.0646
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
174,5538.0,BU04060103,0.488,156.6,2,True,1,0.0488
195,5549.0,BU04060410,0.53,175.5,2,True,1,0.053000000000000005
203,5549.0,BU04060410,0.546,182.70000000000002,2,True,1,0.05460000000000001
177,5549.0,BU04060410,0.494,159.3,2,True,1,0.0494
133,5536.0,BU04060001,0.40599999999999997,119.7,2,True,1,0.0406
128,5549.0,BU04060410,0.396,115.2,2,True,1,0.0396
136,5549.0,BU04060410,0.412,122.4,2,True,1,0.0412
133,5555.0,BU04060716,0.40599999999999997,119.7,2,True,1,0.0406
163,5548.0,BU04060409,0.46599999999999997,146.70000000000002,2,True,1,0.0466
235,5536.0,BU04060001,0.61,211.5,2,True,1,0.061
123,5553.0,BU04060614,0.386,110.7,2,True,1,0.0386
160,5549.0,BU04060410,0.45999999999999996,144.0,2,True,1,0.046
133,5555.0,BU04060716,0.40599999999999997,119.7,2,True,1,0.0406
160,5553.0,BU04060614,0.45999999999999996,144.0,2,True,1,0.046
134,5555.0,BU04060716,0.408,120.60000000000001,2,True,1,0.0408
136,5553.0,BU04060614,0.412,122.4,2,True,1,0.0412
164,5553.0,BU04060614,0.46799999999999997,147.6,2,True,1,0.0468
133,5555.0,BU04060716,0.40599999999999997,119.7,2,True,1,0.0406
169,5540.0,BU04060205,0.478,152.1,2,True,1,0.0478
135,5555.0,BU04060716,0.41,121.5,2,True,1,0.041
126,5543.0,BU04060308,0.392,113.4,2,True,1,0.039200000000000006
173,5555.0,BU04060716,0.486,155.70000000000002,2,True,1,0.048600000000000004
133,5555.0,BU04060716,0.40599999999999997,119.7,2,True,1,0.0406
168,5555.0,BU04060716,0.476,151.20000000000002,2,True,1,0.0476
165,5555.0,BU04060716,0.47,148.5,2,True,1,0.047
131,5553.0,BU04060614,0.402,117.9,2,True,1,0.04020000000000001
133,5555.0,BU04060716,0.40599999999999997,119.7,2,True,1,0.0406
204,5538.0,BU04060103,0.548,183.6,2,True,1,0.05480000000000001
120,5553.0,BU04060614,0.38,108.0,2,True,1,0.038000000000000006
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
169,5540.0,BU04060205,0.478,152.1,2,True,1,0.0478
143,5555.0,BU04060716,0.426,128.70000000000002,2,True,1,0.0426
133,5553.0,BU04060614,0.40599999999999997,119.7,2,True,1,0.0406
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
182,5549.0,BU04060410,0.504,163.8,2,True,1,0.0504
187,5540.0,BU04060205,0.514,168.3,2,True,1,0.0514
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
129,5553.0,BU04060614,0.398,116.10000000000001,2,True,1,0.0398
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
231,5540.0,BU04060205,0.602,207.9,2,True,1,0.060200000000000004
156,5549.0,BU04060410,0.45199999999999996,140.4,2,True,1,0.0452
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
183,5555.0,BU04060716,0.506,164.70000000000002,2,True,1,0.050600000000000006
183,5540.0,BU04060205,0.506,164.70000000000002,2,True,1,0.050600000000000006
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
176,5538.0,BU04060103,0.492,158.4,2,True,1,0.0492
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
225,5540.0,BU04060205,0.59,202.5,2,True,1,0.059
150,5555.0,BU04060716,0.44,135.0,2,True,1,0.044000000000000004
255,5540.0,BU04060205,0.65,229.5,2,True,1,0.065
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
197,5540.0,BU04060205,0.534,177.3,2,True,1,0.0534
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
198,5537.0,BU04060002,0.536,178.20000000000002,2,True,1,0.05360000000000001
135,5547.0,BU04060330,0.41,121.5,2,True,1,0.041
134,5537.0,BU04060002,0.408,120.60000000000001,2,True,1,0.0408
121,5553.0,BU04060614,0.382,108.9,2,True,1,0.038200000000000005
125,5553.0,BU04060614,0.39,112.5,2,True,1,0.03900000000000001
138,5555.0,BU04060716,0.416,124.2,2,True,1,0.0416
167,5555.0,BU04060716,0.474,150.3,2,True,1,0.0474
134,5553.0,BU04060614,0.408,120.60000000000001,2,True,1,0.0408
121,5554.0,BU04060615,0.382,108.9,2,True,1,0.038200000000000005
146,5555.0,BU04060716,0.432,131.4,2,True,1,0.0432
141,5549.0,BU04060410,0.422,126.9,2,True,1,0.0422
175,5549.0,BU04060410,0.49,157.5,2,True,1,0.049
134,5556.0,BU04060817,0.408,120.60000000000001,2,True,1,0.0408
135,5555.0,BU04060716,0.41,121.5,2,True,1,0.041
127,5538.0,BU04060103,0.394,114.3,2,True,1,0.039400000000000004
135,5538.0,BU04060103,0.41,121.5,2,True,1,0.041
138,5549.0,BU04060410,0.416,124.2,2,True,1,0.0416
136,5556.0,BU04060817,0.412,122.4,2,True,1,0.0412
121,5536.0,BU04060001,0.382,108.9,2,True,1,0.038200000000000005
179,5547.0,BU04060330,0.498,161.1,2,True,1,0.049800000000000004
143,5556.0,BU04060817,0.426,128.70000000000002,2,True,1,0.0426
206,5536.0,BU04060001,0.552,185.4,2,True,1,0.055200000000000006
168,5554.0,BU04060615,0.476,151.20000000000002,2,True,1,0.0476
137,5537.0,BU04060002,0.414,123.3,2,True,1,0.0414
151,5556.0,BU04060817,0.442,135.9,2,True,1,0.0442
143,5556.0,BU04060817,0.426,128.70000000000002,2,True,1,0.0426
130,5556.0,BU04060817,0.4,117.0,2,True,1,0.04000000000000001
163,5556.0,BU04060817,0.46599999999999997,146.70000000000002,2,True,1,0.0466
124,5549.0,BU04060410,0.388,111.60000000000001,2,True,1,0.0388
188,5538.0,BU04060103,0.516,169.20000000000002,2,True,1,0.05160000000000001
137,5537.0,BU04060002,0.414,123.3,2,True,1,0.0414
137,5549.0,BU04060410,0.414,123.3,2,True,1,0.0414
188,5548.0,BU04060409,0.516,169.20000000000002,2,True,1,0.05160000000000001
120,5549.0,BU04060410,0.38,108.0,2,True,1,0.038000000000000006
155,5549.0,BU04060410,0.44999999999999996,139.5,2,True,1,0.045
153,5549.0,BU04060410,0.44599999999999995,137.70000000000002,2,True,1,0.0446
172,5537.0,BU04060002,0.484,154.8,2,True,1,0.0484
172,5549.0,BU04060410,0.484,154.8,2,True,1,0.0484
180,5548.0,BU04060409,0.5,162.0,2,True,1,0.05
